disease,SnoRNA,Score
42,26,0.9999831755066284
42,245,0.997423453277924
42,255,0.997423453277924
42,329,0.997423453277924
42,235,0.997423453277924
42,277,0.997423453277924
42,324,0.997423453277924
23,113,0.9967583995292996
11,135,0.9967526247105128
11,223,0.9967526247105128
11,310,0.9967011688015672
11,299,0.9967011688015672
11,56,0.9967011688015672
11,312,0.9967011688015672
42,280,0.9966380055564024
23,95,0.9963784775420852
42,34,0.9960723891412028
42,46,0.9960723891412028
23,51,0.9958363899025606
42,292,0.9958154348204356
42,39,0.9957306490035468
11,273,0.9956858090617372
23,110,0.9956631471525634
82,62,0.9956541503341082
82,134,0.9956541503341082
82,115,0.9955840794741894
82,118,0.9955840794741894
53,79,0.9955840794741894
23,70,0.995536268389616
23,129,0.9954457915098678
23,101,0.9954457915098678
11,277,0.9954205902845914
11,329,0.9954205902845914
11,103,0.9954205902845914
11,44,0.9954205902845914
11,45,0.9954205902845914
11,245,0.9954205902845914
11,331,0.9954205902845914
11,235,0.9954205902845914
11,255,0.9954205902845914
11,334,0.9954205902845914
11,27,0.9954205902845914
21,331,0.9953811047055552
21,329,0.9953811047055552
21,255,0.9953811047055552
21,277,0.9953811047055552
21,103,0.9953811047055552
21,235,0.9953811047055552
21,334,0.9953811047055552
11,324,0.9953216152927852
11,41,0.9953216152927852
21,324,0.9952884099564936
82,53,0.9952790494755034
53,82,0.9951865381029044
53,109,0.9951865381029044
53,99,0.9951865381029044
53,50,0.9951865381029044
53,90,0.9951865381029044
53,80,0.9951865381029044
11,134,0.995144301020026
9,134,0.9949939565984758
53,66,0.9947655248016006
11,330,0.9947578495865596
11,37,0.9946743968858558
42,132,0.9946313851027436
42,51,0.9946313851027436
9,117,0.9945061910801932
9,93,0.9945061910801932
11,47,0.9944622674693882
11,42,0.9944622674693882
21,39,0.9943843195496184
21,42,0.9943843195496184
42,141,0.9943839402563244
9,80,0.994374146009736
9,126,0.994374146009736
9,50,0.994374146009736
82,111,0.994329102415508
53,106,0.994329102415508
42,250,0.9942959310818816
42,252,0.9942959310818816
42,143,0.9942959310818816
21,247,0.9942561990673856
53,81,0.9942381538193598
82,110,0.9942381538193598
11,21,0.994212257937941
11,219,0.994212257937941
53,133,0.994175834524942
54,221,0.9941248263837038
54,250,0.9941248263837038
9,95,0.9941240383368636
24,96,0.9940677557646642
54,280,0.99401813005642
23,119,0.9939902413831884
53,76,0.9939800381055364
82,76,0.9939800381055364
82,121,0.9939688437175016
53,101,0.9939688437175016
42,207,0.9938957894395808
53,129,0.993856052749408
42,208,0.9938492437679046
11,57,0.9938062411533304
23,69,0.993737923604007
21,280,0.9936301874016984
11,248,0.9936260791747892
11,215,0.9936260791747892
53,70,0.9935168472318184
21,248,0.9935143278452142
21,236,0.9935121692563312
9,111,0.993395231586792
11,218,0.993354845797912
54,271,0.9932033217551148
11,271,0.9932033217551148
9,51,0.9931934710613902
53,78,0.9931833173458632
82,123,0.993155132155535
11,39,0.9929959741822848
11,32,0.9929959741822848
11,33,0.9929959741822848
9,101,0.9928827131067864
11,15,0.9928606720853062
23,67,0.992748851886119
54,262,0.992654286076754
21,6,0.9925724652580716
82,114,0.9925298090514229
21,133,0.99249257631694
42,106,0.9924604641999848
99,135,0.9924472073316608
11,24,0.9924023564835932
21,207,0.9923939088906972
24,22,0.9923310741665472
24,293,0.9923310741665472
24,75,0.9923118953194794
24,129,0.9923118953194794
24,101,0.9923118953194794
23,235,0.9922565218591436
12,44,0.992213938523381
11,43,0.9921866473084126
11,30,0.9921866473084126
11,34,0.9921866473084126
11,46,0.9921866473084126
54,195,0.9921292296557914
53,74,0.9921290636834984
53,72,0.9921208399581416
82,72,0.9921208399581416
53,83,0.9921208399581416
11,141,0.9921020974211412
99,325,0.991909904370631
23,105,0.9918794513924042
42,129,0.9918527309271092
23,100,0.9917692958471568
42,301,0.9917556405390124
42,284,0.9917207274332108
21,50,0.9917178339427876
21,126,0.9917178339427876
9,98,0.9916841300045872
11,224,0.9915994297457584
54,224,0.9915994297457584
16,44,0.9915278403937768
9,90,0.9914639920101764
9,99,0.9914639920101764
9,124,0.9914639920101764
54,71,0.9914331333452134
11,284,0.9914331333452134
11,71,0.9914331333452134
54,284,0.9914331333452134
54,11,0.9914331333452134
11,28,0.991382077543408
21,271,0.9913145232151764
24,59,0.9913122284880632
16,43,0.9912764515331602
16,334,0.9912764515331602
16,45,0.9912764515331602
34,297,0.9912580252472648
11,308,0.991243931276799
54,308,0.991243931276799
23,132,0.991198462284038
23,131,0.991198462284038
11,6,0.9911666316799131
54,103,0.99100814743895
54,44,0.99100814743895
54,255,0.99100814743895
54,329,0.99100814743895
54,277,0.99100814743895
11,236,0.990981183639421
11,10,0.990968066868844
11,207,0.990968066868844
102,44,0.990909616522476
54,41,0.9908409146705472
34,28,0.990799864910982
11,59,0.990744011594046
12,32,0.99068498364993
9,119,0.9906340795076934
54,134,0.9906015839746546
11,274,0.9905559812567688
6,32,0.9904823073628216
31,32,0.9904823073628216
65,32,0.9904823073628216
30,32,0.9904823073628216
85,32,0.9904823073628216
50,32,0.9904650394957376
34,59,0.9903982290982052
21,111,0.9903698213885944
21,106,0.9903698213885944
42,65,0.9902891681269622
11,231,0.9902126438621742
21,10,0.99008853531623
12,43,0.990056206194897
12,334,0.990056206194897
71,41,0.990056206194897
12,41,0.990056206194897
71,334,0.990056206194897
71,43,0.990056206194897
21,129,0.9900377375325218
42,331,0.9900365279006352
42,103,0.9900365279006352
42,135,0.9900365279006352
16,33,0.990018918494693
99,223,0.990013690917772
54,218,0.990009599881554
54,318,0.990009599881554
9,94,0.9899626691775636
53,235,0.9899170174466474
21,101,0.9898197178392066
21,224,0.9896099125918392
23,165,0.989530010642741
108,2,0.9894799893435794
24,301,0.9893846357344926
9,121,0.9893642025869211
11,259,0.9893582893554986
11,211,0.9892259812519172
42,134,0.9891914500270044
24,202,0.9889486283840706
16,32,0.9888535267019952
16,31,0.9886963378701936
82,68,0.9886668320654164
53,68,0.9886668320654164
21,200,0.9886004100294796
11,333,0.988599006424106
11,282,0.988599006424106
12,37,0.9885469953292428
23,126,0.9885457274399684
64,252,0.988492350970456
9,329,0.9884580991170724
9,334,0.9884580991170724
9,45,0.9884580991170724
9,235,0.9884580991170724
9,255,0.9884580991170724
9,245,0.9884580991170724
9,27,0.9884580991170724
9,277,0.9884580991170724
9,44,0.9884580991170724
71,42,0.9884538621236632
53,132,0.9884300176495664
42,19,0.9884170853624724
42,202,0.9884002085483348
9,324,0.9882886823033298
11,22,0.9882875026058237
11,88,0.9882487086940056
54,145,0.9881712183056656
34,244,0.988132518243705
9,123,0.9880671712618596
7,147,0.9879200386878514
54,263,0.987914226880316
34,301,0.9878521241349374
21,305,0.9877362247058898
24,7,0.9877007932594812
24,216,0.987693065209612
72,1,0.9875845059830836
76,1,0.9875845059830836
23,133,0.9875764517563644
40,27,0.987549061662225
102,277,0.9875415821692652
54,293,0.9875305321969394
9,114,0.9875021974419016
99,301,0.987430286934736
21,202,0.9874299587018964
82,75,0.9874024021386374
53,75,0.9874024021386374
34,302,0.9873890242025434
34,152,0.9873890242025434
42,223,0.9873833511003892
42,7,0.9872833320812264
9,88,0.987245613640784
77,19,0.987206220340758
24,251,0.9871469328188271
83,334,0.9871449230919556
83,27,0.9871449230919556
11,307,0.9871434047459284
21,222,0.987143118773573
54,137,0.9871275175007296
99,236,0.9870912225139136
23,200,0.9870290272293668
54,33,0.9870248972481876
54,39,0.9870248972481876
9,54,0.9870074019839344
21,244,0.9869367873567112
9,83,0.986898377452666
54,264,0.9868450048117674
9,132,0.9868056566683404
9,131,0.9868056566683404
53,84,0.9867338806360832
9,32,0.9866603437135176
9,39,0.9866603437135176
11,17,0.9866344297942224
108,325,0.986583851389034
86,27,0.9865464842182472
34,156,0.9863278976367128
24,131,0.9862739383333936
24,132,0.9862739383333936
42,156,0.9862721100812164
24,195,0.986259811500863
52,147,0.9862483644248354
64,147,0.9862483644248354
23,87,0.9861790698951314
11,110,0.986124918331408
24,303,0.9860995468222472
21,1,0.986060248387868
9,74,0.9859856293504718
34,8,0.9859377752649486
34,65,0.9859377752649486
40,41,0.9859155924111056
